PAIS;Equipo;Marca;Site;Ubicación;Device Name;IP;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;Sala de Reuniones;Bolivia 22;10.134.78.19;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;Sala de Reuniones;Bolivia 23;10.134.78.20;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;LOGISTICA;Bolivia 24;10.134.78.21;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;SD CBBA;GERENCIA;Bolivia 25;10.134.78.22;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;OV CBBA;Rack Principal;Bolivia 26;10.134.77.10;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ASTRA;Ventas planta alta;Bolivia 27;10.134.87.15;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ASTRA;Centro de computo;Bolivia 28;10.134.87.17;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ASTRA;Centro de computo;Bolivia 29;10.134.87.11;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ASTRA;control de calidad;Bolivia 30;10.134.87.12;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ASTRA;Taller electrico;Bolivia 31;10.134.87.14;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;ASTRA;Centro de computo;Bolivia 32;10.134.87.10;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;ENALBO;DATA CENTER;Bolivia 33;10.134.86.10;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ENALBO;DATA CENTER;Bolivia 34;10.134.86.11;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ENALBO;DATA CENTER;Bolivia 35;10.134.86.14;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ENALBO;Calidad;Bolivia 36;10.134.86.12;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ENALBO;Sala Supervisores;Bolivia 37;10.134.86.13;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;ENALBO;CD Enalbo;Bolivia 38;10.134.86.16;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;HUARI;DATA CENTER;Bolivia 39;10.134.88.10;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;HUARI;DATA CENTER;Bolivia 40;10.134.88.11;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;HUARI;DATA CENTER;Bolivia 41;10.134.88.14;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;HUARI;Almacen;Bolivia 42;10.134.88.13;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;HUARI;PTE;Bolivia 43;10.134.88.16;;;;;;;;;;;;;;;;;
Bolivia;Router;Cisco;OV ORURO;Rack Principal;Bolivia 44;10.134.87.128;;;;;;;;;;;;;;;;;
Bolivia;Switch;Cisco;OV ORURO;Rack Principal;Bolivia 45;10.134.87.138;;;;;;;;;;;;;;;;;
